"","X","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
"7",6,"2020","SE","FT","Lead Data Scientist",190000,"USD",190000,"US",100,"US","S"
"26",25,"2020","EX","FT","Director of Data Science",325000,"USD",325000,"US",100,"US","L"
"33",32,"2020","SE","FT","Data Scientist",60000,"EUR",68428,"GR",100,"US","L"
"37",36,"2020","MI","FT","Data Science Consultant",103000,"USD",103000,"US",100,"US","L"
"41",40,"2020","MI","FT","Data Scientist",45760,"USD",45760,"PH",100,"US","S"
"49",48,"2020","MI","FT","Data Scientist",105000,"USD",105000,"US",100,"US","L"
"58",57,"2020","MI","FT","Data Scientist",118000,"USD",118000,"US",100,"US","M"
"59",58,"2020","SE","FT","Data Scientist",120000,"USD",120000,"US",50,"US","L"
"60",59,"2020","MI","FT","Data Scientist",138350,"USD",138350,"US",100,"US","M"
"64",63,"2020","SE","FT","Data Scientist",412000,"USD",412000,"US",100,"US","L"
"68",67,"2020","SE","FT","Data Science Manager",190200,"USD",190200,"US",100,"US","M"
"69",68,"2020","EN","FT","Data Scientist",105000,"USD",105000,"US",100,"US","S"
"105",104,"2021","MI","FT","Data Scientist",73000,"USD",73000,"US",0,"US","L"
"126",125,"2021","MI","FT","Principal Data Scientist",151000,"USD",151000,"US",100,"US","L"
"135",134,"2021","EN","FT","Data Scientist",100000,"USD",100000,"US",0,"US","S"
"139",138,"2021","SE","FT","Principal Data Scientist",220000,"USD",220000,"US",0,"US","L"
"140",139,"2021","EN","FT","Data Scientist",80000,"USD",80000,"US",100,"US","M"
"142",141,"2021","SE","FT","Data Science Manager",240000,"USD",240000,"US",0,"US","L"
"144",143,"2021","MI","FT","Data Scientist",82500,"USD",82500,"US",100,"US","S"
"152",151,"2021","MI","FT","Data Scientist",150000,"USD",150000,"US",100,"US","M"
"155",154,"2021","SE","FT","Data Science Manager",144000,"USD",144000,"US",100,"US","L"
"168",167,"2021","EX","FT","Director of Data Science",250000,"USD",250000,"US",0,"US","L"
"174",173,"2021","SE","FT","Principal Data Scientist",235000,"USD",235000,"US",100,"US","L"
"180",179,"2021","MI","FT","Data Scientist",420000,"INR",5679,"IN",100,"US","S"
"194",193,"2021","SE","FT","Data Science Manager",174000,"USD",174000,"US",100,"US","L"
"196",195,"2021","MI","FT","Data Scientist",147000,"USD",147000,"US",50,"US","L"
"199",198,"2021","SE","FT","Data Science Manager",4000000,"INR",54094,"IN",50,"US","L"
"200",199,"2021","EN","FT","Data Science Consultant",90000,"USD",90000,"US",100,"US","S"
"205",204,"2021","MI","FT","Data Scientist",160000,"USD",160000,"US",100,"US","L"
"226",225,"2021","EX","CT","Principal Data Scientist",416000,"USD",416000,"US",100,"US","S"
"229",228,"2021","SE","FT","Data Scientist",135000,"USD",135000,"US",0,"US","L"
"236",235,"2021","MI","FT","Head of Data Science",110000,"USD",110000,"US",0,"US","S"
"244",243,"2021","SE","FT","Data Scientist",165000,"USD",165000,"US",100,"US","L"
"251",250,"2021","MI","FT","Data Scientist",115000,"USD",115000,"US",50,"US","L"
"252",251,"2021","EN","FT","Data Scientist",90000,"USD",90000,"US",100,"US","S"
"261",260,"2021","MI","FT","Data Scientist",130000,"USD",130000,"US",50,"US","L"
"276",275,"2021","EN","FT","Data Scientist",100000,"USD",100000,"US",100,"US","M"
"277",276,"2021","EN","FT","Data Scientist",58000,"USD",58000,"US",50,"US","L"
"284",283,"2021","SE","CT","Staff Data Scientist",105000,"USD",105000,"US",100,"US","M"
"288",287,"2021","MI","FT","Data Scientist",109000,"USD",109000,"US",50,"US","L"
"293",292,"2022","MI","FT","Data Scientist",130000,"USD",130000,"US",0,"US","M"
"294",293,"2022","MI","FT","Data Scientist",90000,"USD",90000,"US",0,"US","M"
"299",298,"2022","SE","FT","Data Scientist",136620,"USD",136620,"US",100,"US","M"
"300",299,"2022","SE","FT","Data Scientist",99360,"USD",99360,"US",100,"US","M"
"303",302,"2022","SE","FT","Data Scientist",146000,"USD",146000,"US",100,"US","M"
"304",303,"2022","SE","FT","Data Scientist",123000,"USD",123000,"US",100,"US","M"
"316",315,"2022","SE","FT","Data Scientist",165220,"USD",165220,"US",100,"US","M"
"318",317,"2022","SE","FT","Data Scientist",120160,"USD",120160,"US",100,"US","M"
"324",323,"2022","SE","FT","Data Scientist",180000,"USD",180000,"US",0,"US","L"
"325",324,"2022","SE","FT","Data Scientist",120000,"USD",120000,"US",0,"US","L"
"343",342,"2022","EX","FT","Head of Data Science",224000,"USD",224000,"US",100,"US","M"
"344",343,"2022","EX","FT","Head of Data Science",167875,"USD",167875,"US",100,"US","M"
"348",347,"2022","SE","FT","Data Scientist",95550,"USD",95550,"US",0,"US","M"
"351",350,"2022","SE","FT","Data Science Manager",161342,"USD",161342,"US",100,"US","M"
"352",351,"2022","SE","FT","Data Science Manager",137141,"USD",137141,"US",100,"US","M"
"353",352,"2022","SE","FT","Data Scientist",167000,"USD",167000,"US",100,"US","M"
"354",353,"2022","SE","FT","Data Scientist",123000,"USD",123000,"US",100,"US","M"
